ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
30,12,1,164.97191011235955,78.73595505617978,0,12
30,13,1,187.72826086956522,80.7663043478261,0,13
30,14,1,190.5304347826087,90.02173913043478,0,14
30,15,1,170.20095693779905,90.2488038277512,0,15
31,1,1,119.99107142857143,43.36607142857143,0,1
31,2,1,143.13636363636363,53.64090909090909,0,2
31,3,1,109.46560846560847,52.47089947089947,0,3
31,4,1,141.0113314447592,64.33711048158641,0,4
31,5,1,96.6036866359447,60.07834101382488,0,5
31,6,1,131.93103448275863,66.5,0,6
31,7,1,121.92553191489361,66.86170212765957,0,7
31,8,1,163.83653846153845,68.74038461538461,0,8
31,9,1,117.662100456621,73.97488584474885,0,9
31,10,1,147.92640692640694,80.77489177489177,0,10
31,11,1,164.7258064516129,78.11827956989248,0,11
31,12,1,188.74111675126903,81.12182741116752,0,12
31,13,1,191.23478260869564,90.25217391304348,0,13
31,14,1,172.69230769230768,91.23981900452489,0,14
