TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
34,14,-1.2335121918815006,1,53.29959514170041,64.40485829959515,0.61,-0.082,False,40.68549806058508,8.070538519003604,8
34,13,-1.2480771063902552,1,55.0,80.41015625,1.14,0.258,False,44.24136125594337,7.685883412496447,6
34,17,-1.7626361638439683,1,66.34074074074074,95.3962962962963,0.859,-0.037,False,40.363250408065134,8.792702113694313,9
34,16,-1.2853419003872848,1,42.18385650224215,96.17937219730942,-0.218,0.074,False,34.658244452032214,8.439271410718263,8
34,7,-1.2446649123973321,1,55.02564102564103,101.23076923076924,0.304,-0.146,False,32.678912231351006,7.762199817078033,4
34,20,-1.1062038576369682,1,41.96650717703349,114.9090909090909,0.37,1.171,False,35.25642949443865,7.860721174976071,10
34,18,-1.188456649282109,1,53.43859649122807,127.52631578947368,-0.202,0.121,False,62.24731652018721,8.909862126213524,11
34,19,-1.1813063203698713,1,44.86320754716981,130.4009433962264,0.551,0.29,False,33.987957417900866,8.046099606336224,11
34,21,-1.6746800325094262,1,34.80859375,145.4609375,0.597,-0.153,False,37.05806580098111,9.362246706161388,10
35,22,-0.6101652265810223,1,79.92546583850931,34.78260869565217,1.311,0.62,False,24.42313496715059,8.692517425192284,12
35,15,-1.0989597111353646,1,71.58223684210526,57.00986842105263,2.911,0.097,False,45.73166368033127,9.331887261136096,9
35,23,-1.0778682741785899,1,65.44137931034483,51.179310344827584,1.506,0.131,False,24.29957113650773,7.704636605415927,12
35,14,-1.2241029809953632,1,52.85606060606061,64.23863636363636,1.927,0.248,False,43.73733911042299,8.017940023090524,8
35,13,-1.2483017971526915,1,53.72631578947368,82.81052631578947,-4.049,-0.593,False,49.94377089927065,7.608943289484288,6
35,17,-1.712376847238202,1,66.01003344481606,95.40133779264214,,,True,44.655960832183176,8.99212835193009,9
35,16,-1.3235193527259552,1,41.59722222222222,96.83796296296296,0.456,1.091,False,33.56736636786017,8.414792492043352,8
35,7,-1.2692098249005401,1,54.872549019607845,100.48529411764706,,,True,34.2002286386882,7.753722751147776,4
35,18,-1.2299269513963305,1,54.005221932114885,127.9425587467363,,,True,61.2379613329678,8.764982656273217,11
35,20,-1.2758819643344603,1,41.40888888888889,121.31555555555556,-0.485,-2.569,False,37.10684430307424,7.865852574998124,10
35,19,-1.2024379551377544,1,45.67117117117117,131.6576576576577,2.306,1.746,False,36.74240195655453,7.797761603750282,11
35,21,-1.8285980950009344,1,33.85820895522388,144.8992537313433,1.852,-0.677,False,40.04158225682452,9.001302077424523,10
36,22,-0.5219369292866338,1,84.55263157894737,31.610526315789475,0.62,0.851,False,30.976168855599543,8.082816432292553,12
36,15,-0.902659358780859,1,76.74937965260546,50.72208436724566,,,True,60.284174629050966,10.808707005103123,9
36,23,-1.0252435060364236,1,65.31720430107526,52.39247311827957,0.612,-0.1,False,31.82788605661508,7.683764829177673,12
36,14,-1.2132137898772999,1,51.598765432098766,66.82716049382717,0.773,-0.172,False,53.37348447473569,8.389886277975009,8
36,13,-1.2943269611412256,1,54.71348314606742,78.57303370786516,0.484,-0.124,False,29.697502737335032,7.843051094382631,6
36,24,-1.5393441993575483,1,66.54146341463415,86.0780487804878,0.669,0.383,False,29.919034539131893,8.889816535812374,17
36,25,-1.2208424062970071,1,57.36842105263158,92.21052631578948,0.335,-0.456,False,23.09035601803328,7.512374827003811,7
36,16,-1.2307330143325974,1,38.085470085470085,104.1025641025641,0.414,0.09,False,35.8461962852634,8.511182823982878,8
36,20,-1.2244460990055928,1,44.888888888888886,106.24747474747475,0.655,0.169,False,34.68375275457688,7.476648181196201,10
36,26,-1.5157701461701694,1,66.0935960591133,113.1231527093596,0.442,0.742,False,30.32081066901461,8.738657422487242,17
36,27,-1.4603161198233845,1,56.81990521327014,131.31516587677726,0.621,-0.21,False,69.13325777232409,8.01545284854666,18
36,28,-1.190439511268142,1,50.24242424242424,111.73484848484848,0.446,-0.217,False,22.995367093911703,7.413911019535571,7
36,21,-1.545122192141572,1,33.79742765273312,141.43408360128618,0.801,0.649,False,49.2999552105534,8.696595398625071,10
36,29,-1.4703138697816918,1,48.85714285714285,141.53214285714284,0.776,-0.043,False,48.41609091937894,7.701331536388464,18
36,19,-1.527660057522821,1,41.5281690140845,142.14084507042253,0.541,0.289,False,48.27462676696971,7.75628098634198,11
37,22,-0.278864841381702,1,89.69194312796209,29.82938388625593,0.506,0.054,False,34.0773464745867,8.318971765754986,12
37,30,-0.5634035646746847,1,85.64090909090909,40.45454545454545,0.82,1.069,False,34.41291730945819,8.88616986189083,15
37,23,-1.0089207383725198,1,67.1951219512195,49.1219512195122,0.699,0.115,False,34.88602792607047,7.75672103511689,12
37,14,-1.1988048314177142,1,52.48985507246377,65.02608695652174,0.719,-0.241,False,57.23970045765808,8.483818175128848,8
